Reporting year,Quintile,Sex,Potentially preventable hospitalisation (PPH) category,Potentially preventable hospitalisation (PPH) condition,Population,"PPH per 100,000 people (age-standardised)","PPH per 100,000 people (crude)",Number of PPH,Number of same day PPH,Percentage of PPH that are same day (%),Total PPH bed days,Average length of stay (days)
2012–13,SEIFA 1 (Most disadvantaged),Males,Acute PPH,Cellulitis,2159050,342,351,"7,578","1,155",15.2,"31,142",4.1
2012–13,SEIFA 1 (Most disadvantaged),Females,Acute PPH,Cellulitis,2161926,252,279,"6,035",968,16.0,"27,150",4.5
2012–13,SEIFA 1 (Most disadvantaged),Persons,Acute PPH,Cellulitis,4320976,297,315,"13,613","2,123",15.6,"58,292",4.3
2012–13,SEIFA 1 (Most disadvantaged),Males,Acute PPH,Convulsions,2159050,111,113,"2,440",714,29.3,"5,457",2.2
2012–13,SEIFA 1 (Most disadvantaged),Females,Acute PPH,Convulsions,2161926,87,88,"1,900",554,29.2,"4,315",2.3
2012–13,SEIFA 1 (Most disadvantaged),Persons,Acute PPH,Convulsions,4320976,99,100,"4,340","1,268",29.2,"9,772",2.3
2012–13,SEIFA 1 (Most disadvantaged),Males,Acute PPH,Convulsions and epilepsy,2159050,240,241,"5,194","1,438",27.7,"13,323",2.6
2012–13,SEIFA 1 (Most disadvantaged),Females,Acute PPH,Convulsions and epilepsy,2161926,178,177,"3,822","1,044",27.3,"10,045",2.6
2012–13,SEIFA 1 (Most disadvantaged),Persons,Acute PPH,Convulsions and epilepsy,4320976,209,209,"9,016","2,482",27.5,"23,368",2.6
2012–13,SEIFA 1 (Most disadvantaged),Males,Acute PPH,Dental conditions,2159050,290,290,"6,259","5,110",81.6,"7,960",1.3
2012–13,SEIFA 1 (Most disadvantaged),Females,Acute PPH,Dental conditions,2161926,297,289,"6,241","5,319",85.2,"7,623",1.2
2012–13,SEIFA 1 (Most disadvantaged),Persons,Acute PPH,Dental conditions,4320976,294,289,"12,500","10,429",83.4,"15,583",1.2
2012–13,SEIFA 1 (Most disadvantaged),Males,Acute PPH,"Ear, nose and throat infections",2159050,206,212,"4,571","1,612",35.3,"7,104",1.6
2012–13,SEIFA 1 (Most disadvantaged),Females,Acute PPH,"Ear, nose and throat infections",2161926,205,203,"4,390","1,459",33.2,"7,311",1.7
2012–13,SEIFA 1 (Most disadvantaged),Persons,Acute PPH,"Ear, nose and throat infections",4320976,206,207,"8,961","3,071",34.3,"14,415",1.6
2012–13,SEIFA 1 (Most disadvantaged),Males,Acute PPH,Eclampsia,2159050,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2012–13,SEIFA 1 (Most disadvantaged),Females,Acute PPH,Eclampsia,2161926,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2012–13,SEIFA 1 (Most disadvantaged),Persons,Acute PPH,Eclampsia,4320976,n.p,n.p,18,n.p,n.p,n.p,n.p
2012–13,SEIFA 1 (Most disadvantaged),Males,Acute PPH,Epilepsy,2159050,129,128,"2,754",724,26.3,"7,866",2.9
2012–13,SEIFA 1 (Most disadvantaged),Females,Acute PPH,Epilepsy,2161926,91,89,"1,922",490,25.5,"5,730",3.0
2012–13,SEIFA 1 (Most disadvantaged),Persons,Acute PPH,Epilepsy,4320976,110,108,"4,676","1,214",26.0,"13,596",2.9
2012–13,SEIFA 1 (Most disadvantaged),Males,Acute PPH,Gangrene,2159050,49,52,"1,115",101,9.1,"15,106",13.5
2012–13,SEIFA 1 (Most disadvantaged),Females,Acute PPH,Gangrene,2161926,34,39,834,39,4.7,"12,117",14.5
2012–13,SEIFA 1 (Most disadvantaged),Persons,Acute PPH,Gangrene,4320976,41,45,"1,949",140,7.2,"27,223",14.0
2012–13,SEIFA 1 (Most disadvantaged),Males,Acute PPH,Pelvic inflammatory disease,2159050,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2012–13,SEIFA 1 (Most disadvantaged),Females,Acute PPH,Pelvic inflammatory disease,2161926,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2012–13,SEIFA 1 (Most disadvantaged),Persons,Acute PPH,Pelvic inflammatory disease,4320976,25,23,"1,008",330,32.7,"2,447",2.4
2012–13,SEIFA 1 (Most disadvantaged),Males,Acute PPH,Perforated/bleeding ulcer,2159050,35,37,808,90,11.1,"4,528",5.6
2012–13,SEIFA 1 (Most disadvantaged),Females,Acute PPH,Perforated/bleeding ulcer,2161926,18,23,487,56,11.5,"3,597",7.4
2012–13,SEIFA 1 (Most disadvantaged),Persons,Acute PPH,Perforated/bleeding ulcer,4320976,26,30,"1,295",146,11.3,"8,125",6.3
2012–13,SEIFA 1 (Most disadvantaged),Males,Acute PPH,Pneumonia (not vaccine-preventable),2159050,9,9,195,n.p,n.p,n.p,n.p
2012–13,SEIFA 1 (Most disadvantaged),Females,Acute PPH,Pneumonia (not vaccine-preventable),2161926,6,7,147,5,3.4,898,6.1
2012–13,SEIFA 1 (Most disadvantaged),Persons,Acute PPH,Pneumonia (not vaccine-preventable),4320976,7,8,342,9,2.6,"2,609",7.6
2012–13,SEIFA 1 (Most disadvantaged),Males,Acute PPH,Total acute,2159050,"1,380","1,417","30,602","10,432",34.1,"103,713",3.4
2012–13,SEIFA 1 (Most disadvantaged),Females,Acute PPH,Total acute,2161926,"1,458","1,544","33,371","11,357",34.0,"110,343",3.3
2012–13,SEIFA 1 (Most disadvantaged),Persons,Acute PPH,Total acute,4320976,"1,417","1,481","63,973","21,789",34.1,"214,056",3.3
2012–13,SEIFA 1 (Most disadvantaged),Males,Acute PPH,"Urinary tract infections, including pyelonephritis",2159050,210,228,"4,920",925,18.8,"23,100",4.7
2012–13,SEIFA 1 (Most disadvantaged),Females,Acute PPH,"Urinary tract infections, including pyelonephritis",2161926,418,482,"10,421","2,137",20.5,"39,385",3.8
2012–13,SEIFA 1 (Most disadvantaged),Persons,Acute PPH,"Urinary tract infections, including pyelonephritis",4320976,314,355,"15,341","3,062",20.0,"62,485",4.1
2012–13,SEIFA 1 (Most disadvantaged),Males,Acute and vaccine preventable PPH,Total acute and vaccine preventable,2159050,"1,503","1,547","33,394","10,757",32.2,"124,838",3.7
2012–13,SEIFA 1 (Most disadvantaged),Females,Acute and vaccine preventable PPH,Total acute and vaccine preventable,2161926,"1,571","1,666","36,009","11,609",32.2,"128,023",3.6
2012–13,SEIFA 1 (Most disadvantaged),Persons,Acute and vaccine preventable PPH,Total acute and vaccine preventable,4320976,"1,535","1,606","69,403","22,366",32.2,"252,861",3.6
2012–13,SEIFA 1 (Most disadvantaged),Males,Chronic PPH,Angina,2159050,275,305,"6,586","2,064",31.3,"14,080",2.1
2012–13,SEIFA 1 (Most disadvantaged),Females,Chronic PPH,Angina,2161926,166,206,"4,462","1,333",29.9,"9,897",2.2
2012–13,SEIFA 1 (Most disadvantaged),Persons,Chronic PPH,Angina,4320976,219,256,"11,048","3,397",30.7,"23,977",2.2
2012–13,SEIFA 1 (Most disadvantaged),Males,Chronic PPH,Asthma,2159050,128,127,"2,739",703,25.7,"4,950",1.8
2012–13,SEIFA 1 (Most disadvantaged),Females,Chronic PPH,Asthma,2161926,181,181,"3,903",884,22.6,"10,203",2.6
2012–13,SEIFA 1 (Most disadvantaged),Persons,Chronic PPH,Asthma,4320976,155,154,"6,642","1,587",23.9,"15,153",2.3
2012–13,SEIFA 1 (Most disadvantaged),Males,Chronic PPH,Bronchiectasis,2159050,20,21,448,89,19.9,"2,632",5.9
2012–13,SEIFA 1 (Most disadvantaged),Females,Chronic PPH,Bronchiectasis,2161926,32,39,836,161,19.3,"5,679",6.8
2012–13,SEIFA 1 (Most disadvantaged),Persons,Chronic PPH,Bronchiectasis,4320976,26,30,"1,284",250,19.5,"8,311",6.5
2012–13,SEIFA 1 (Most disadvantaged),Males,Chronic PPH,COPD,2159050,411,461,"9,963",799,8.0,"54,939",5.5
2012–13,SEIFA 1 (Most disadvantaged),Females,Chronic PPH,COPD,2161926,331,416,"8,989",632,7.0,"50,724",5.6
2012–13,SEIFA 1 (Most disadvantaged),Persons,Chronic PPH,COPD,4320976,363,439,"18,952","1,431",7.6,"105,663",5.6
2012–13,SEIFA 1 (Most disadvantaged),Males,Chronic PPH,Congestive cardiac failure,2159050,295,324,"7,006",565,8.1,"44,337",6.3
2012–13,SEIFA 1 (Most disadvantaged),Females,Chronic PPH,Congestive cardiac failure,2161926,200,285,"6,153",450,7.3,"41,525",6.7
2012–13,SEIFA 1 (Most disadvantaged),Persons,Chronic PPH,Congestive cardiac failure,4320976,242,305,"13,159","1,015",7.7,"85,862",6.5
2012–13,SEIFA 1 (Most disadvantaged),Males,Chronic PPH,Diabetes complications,2159050,262,278,"6,009","1,224",20.4,"36,271",6.0
2012–13,SEIFA 1 (Most disadvantaged),Females,Chronic PPH,Diabetes complications,2161926,196,213,"4,598","1,012",22.0,"25,261",5.5
2012–13,SEIFA 1 (Most disadvantaged),Persons,Chronic PPH,Diabetes complications,4320976,227,245,"10,607","2,236",21.1,"61,532",5.8
2012–13,SEIFA 1 (Most disadvantaged),Males,Chronic PPH,Hypertension,2159050,31,33,723,164,22.7,"1,868",2.6
2012–13,SEIFA 1 (Most disadvantaged),Females,Chronic PPH,Hypertension,2161926,50,63,"1,370",279,20.4,"4,243",3.1
2012–13,SEIFA 1 (Most disadvantaged),Persons,Chronic PPH,Hypertension,4320976,42,48,"2,093",443,21.2,"6,111",2.9
2012–13,SEIFA 1 (Most disadvantaged),Males,Chronic PPH,Iron deficiency anaemia,2159050,123,136,"2,928","2,079",71.0,"5,238",1.8
2012–13,SEIFA 1 (Most disadvantaged),Females,Chronic PPH,Iron deficiency anaemia,2161926,211,240,"5,183","3,887",75.0,"8,835",1.7
2012–13,SEIFA 1 (Most disadvantaged),Persons,Chronic PPH,Iron deficiency anaemia,4320976,166,188,"8,111","5,966",73.6,"14,073",1.7
2012–13,SEIFA 1 (Most disadvantaged),Males,Chronic PPH,Nutritional deficiencies,2159050,2,2,49,0,0.0,647,13.2
2012–13,SEIFA 1 (Most disadvantaged),Females,Chronic PPH,Nutritional deficiencies,2161926,2,2,53,n.p,n.p,n.p,n.p
2012–13,SEIFA 1 (Most disadvantaged),Persons,Chronic PPH,Nutritional deficiencies,4320976,2,2,102,n.p,n.p,n.p,n.p
2012–13,SEIFA 1 (Most disadvantaged),Males,Chronic PPH,Rheumatic heart disease,2159050,17,17,374,83,22.2,"2,671",7.1
2012–13,SEIFA 1 (Most disadvantaged),Females,Chronic PPH,Rheumatic heart disease,2161926,22,24,510,109,21.4,"4,322",8.5
2012–13,SEIFA 1 (Most disadvantaged),Persons,Chronic PPH,Rheumatic heart disease,4320976,20,20,884,192,21.7,"6,993",7.9
2012–13,SEIFA 1 (Most disadvantaged),Males,Chronic PPH,Total chronic,2159050,"1,563","1,706","36,824","7,769",21.1,"167,632",4.6
2012–13,SEIFA 1 (Most disadvantaged),Females,Chronic PPH,Total chronic,2161926,"1,392","1,668","36,056","8,750",24.3,"161,407",4.5
2012–13,SEIFA 1 (Most disadvantaged),Persons,Chronic PPH,Total chronic,4320976,"1,462","1,687","72,880","16,519",22.7,"329,039",4.5
2012–13,SEIFA 1 (Most disadvantaged),Males,Chronic PPH,Type 1 diabetes complications,2159050,77,76,"1,641",371,22.6,"5,558",3.4
2012–13,SEIFA 1 (Most disadvantaged),Females,Chronic PPH,Type 1 diabetes complications,2161926,80,77,"1,657",468,28.2,"5,758",3.5
2012–13,SEIFA 1 (Most disadvantaged),Persons,Chronic PPH,Type 1 diabetes complications,4320976,79,76,"3,298",839,25.4,"11,316",3.4
2012–13,SEIFA 1 (Most disadvantaged),Males,Chronic PPH,Type 2 diabetes complications,2159050,180,198,"4,270",843,19.7,"30,158",7.1
2012–13,SEIFA 1 (Most disadvantaged),Females,Chronic PPH,Type 2 diabetes complications,2161926,114,134,"2,891",534,18.5,"19,114",6.6
2012–13,SEIFA 1 (Most disadvantaged),Persons,Chronic PPH,Type 2 diabetes complications,4320976,145,166,"7,161","1,377",19.2,"49,272",6.9
2012–13,SEIFA 1 (Most disadvantaged),Males,Total PPH,Total potentially preventable,2159050,"3,050","3,235","69,845","18,508",26.5,"288,718",4.1
2012–13,SEIFA 1 (Most disadvantaged),Females,Total PPH,Total potentially preventable,2161926,"2,949","3,317","71,719","20,344",28.4,"286,558",4.0
2012–13,SEIFA 1 (Most disadvantaged),Persons,Total PPH,Total potentially preventable,4320976,"2,982","3,276","141,564","38,852",27.4,"575,276",4.1
2012–13,SEIFA 1 (Most disadvantaged),Males,Vaccine preventable PPH,Other vaccine-preventable conditions,2159050,49,51,"1,100",233,21.2,"6,789",6.2
2012–13,SEIFA 1 (Most disadvantaged),Females,Vaccine preventable PPH,Other vaccine-preventable conditions,2161926,37,38,817,139,17.0,"5,193",6.4
2012–13,SEIFA 1 (Most disadvantaged),Persons,Vaccine preventable PPH,Other vaccine-preventable conditions,4320976,43,44,"1,917",372,19.4,"11,982",6.3
2012–13,SEIFA 1 (Most disadvantaged),Males,Vaccine preventable PPH,Other vaccine-preventable conditions (excluding Hepatitis B),2159050,17,18,394,35,8.9,"2,758",7.0
2012–13,SEIFA 1 (Most disadvantaged),Females,Vaccine preventable PPH,Other vaccine-preventable conditions (excluding Hepatitis B),2161926,20,21,458,38,8.3,"2,905",6.3
2012–13,SEIFA 1 (Most disadvantaged),Persons,Vaccine preventable PPH,Other vaccine-preventable conditions (excluding Hepatitis B),4320976,19,20,852,73,8.6,"5,663",6.6
2012–13,SEIFA 1 (Most disadvantaged),Males,Vaccine preventable PPH,Pneumonia and influenza (vaccine-preventable),2159050,78,82,"1,773",97,5.5,"14,890",8.4
2012–13,SEIFA 1 (Most disadvantaged),Females,Vaccine preventable PPH,Pneumonia and influenza (vaccine-preventable),2161926,79,88,"1,894",115,6.1,"13,070",6.9
2012–13,SEIFA 1 (Most disadvantaged),Persons,Vaccine preventable PPH,Pneumonia and influenza (vaccine-preventable),4320976,78,85,"3,667",212,5.8,"27,960",7.6
