Reporting year,Quintile,Sex,Potentially preventable hospitalisation (PPH) category,Potentially preventable hospitalisation (PPH) condition,Population,"PPH per 100,000 people (age-standardised)","PPH per 100,000 people (crude)",Number of PPH,Number of same day PPH,Percentage of PPH that are same day (%),Total PPH bed days,Average length of stay (days)
2017–18,SEIFA 4,Males,Vaccine preventable PPH,Total vaccine preventable,2526725,282,280,"7,087","1,170",16.5,"49,184",6.9
2017–18,SEIFA 4,Females,Vaccine preventable PPH,Total vaccine preventable,2577598,262,285,"7,357","1,276",17.3,"46,727",6.4
2017–18,SEIFA 4,Persons,Vaccine preventable PPH,Total vaccine preventable,5104323,271,283,"14,444","2,446",16.9,"95,911",6.6
2017–18,SEIFA 5 (Least disadvantaged),Males,Acute PPH,Cellulitis,2507590,225,231,"5,780",900,15.6,"22,591",3.9
2017–18,SEIFA 5 (Least disadvantaged),Females,Acute PPH,Cellulitis,2580278,153,175,"4,517",632,14.0,"20,860",4.6
2017–18,SEIFA 5 (Least disadvantaged),Persons,Acute PPH,Cellulitis,5087868,188,202,"10,297","1,532",14.9,"43,451",4.2
2017–18,SEIFA 5 (Least disadvantaged),Males,Acute PPH,Convulsions,2507590,66,66,"1,663",595,35.8,"3,863",2.3
2017–18,SEIFA 5 (Least disadvantaged),Females,Acute PPH,Convulsions,2580278,53,53,"1,361",469,34.5,"3,673",2.7
2017–18,SEIFA 5 (Least disadvantaged),Persons,Acute PPH,Convulsions,5087868,59,59,"3,027","1,066",35.2,"7,539",2.5
2017–18,SEIFA 5 (Least disadvantaged),Males,Acute PPH,Convulsions and epilepsy,2507590,129,128,"3,208","1,033",32.2,"9,371",2.9
2017–18,SEIFA 5 (Least disadvantaged),Females,Acute PPH,Convulsions and epilepsy,2580278,102,101,"2,607",794,30.5,"8,072",3.1
2017–18,SEIFA 5 (Least disadvantaged),Persons,Acute PPH,Convulsions and epilepsy,5087868,115,114,"5,818","1,829",31.4,"17,446",3.0
2017–18,SEIFA 5 (Least disadvantaged),Males,Acute PPH,Dental conditions,2507590,291,292,"7,321","6,609",90.3,"8,263",1.1
2017–18,SEIFA 5 (Least disadvantaged),Females,Acute PPH,Dental conditions,2580278,308,309,"7,972","7,235",90.8,"8,976",1.1
2017–18,SEIFA 5 (Least disadvantaged),Persons,Acute PPH,Dental conditions,5087868,300,301,"15,293","13,844",90.5,"17,239",1.1
2017–18,SEIFA 5 (Least disadvantaged),Males,Acute PPH,"Ear, nose and throat infections",2507590,141,136,"3,409","1,713",50.2,"5,153",1.5
2017–18,SEIFA 5 (Least disadvantaged),Females,Acute PPH,"Ear, nose and throat infections",2580278,149,143,"3,686","1,791",48.6,"6,034",1.6
2017–18,SEIFA 5 (Least disadvantaged),Persons,Acute PPH,"Ear, nose and throat infections",5087868,145,139,"7,095","3,504",49.4,"11,187",1.6
2017–18,SEIFA 5 (Least disadvantaged),Males,Acute PPH,Eclampsia,2507590,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2017–18,SEIFA 5 (Least disadvantaged),Females,Acute PPH,Eclampsia,2580278,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2017–18,SEIFA 5 (Least disadvantaged),Persons,Acute PPH,Eclampsia,5087868,n.p,n.p,6,n.p,n.p,n.p,n.p
2017–18,SEIFA 5 (Least disadvantaged),Males,Acute PPH,Epilepsy,2507590,62,62,"1,545",438,28.3,"5,508",3.6
2017–18,SEIFA 5 (Least disadvantaged),Females,Acute PPH,Epilepsy,2580278,49,48,"1,246",325,26.1,"4,399",3.5
