Reporting year,Remoteness Area,Sex,Potentially preventable hospitalisation (PPH) category,Potentially preventable hospitalisation (PPH) condition,Population,"PPH per 100,000 people (age-standardised)","PPH per 100,000 people (crude)",Number of PPH,Number of same day PPH,Percentage of PPH that are same day (%),Total PPH bed days,Average length of stay (days)
2015–16,Inner Regional,Persons,Vaccine preventable PPH,Other vaccine-preventable conditions (excluding Hepatitis B),4298060,14,14,621,59,9.6,"7,539",12.1
2015–16,Inner Regional,Females,Vaccine preventable PPH,Other vaccine-preventable conditions (excluding Hepatitis B),2168586,15,15,333,34,10.3,"2,295",6.9
2015–16,Inner Regional,Females,Vaccine preventable PPH,Pneumonia and influenza (vaccine-preventable),2168586,82,96,"2,077",137,6.6,"14,823",7.1
2015–16,Inner Regional,Persons,Vaccine preventable PPH,Pneumonia and influenza (vaccine-preventable),4298060,82,95,"4,063",287,7.1,"28,878",7.1
2015–16,Inner Regional,Males,Vaccine preventable PPH,Pneumonia and influenza (vaccine-preventable),2129474,82,93,"1,986",151,7.6,"14,055",7.1
2015–16,Inner Regional,Males,Vaccine preventable PPH,Total vaccine preventable,2129474,146,167,"3,552",715,20.1,"34,565",9.7
2015–16,Inner Regional,Persons,Vaccine preventable PPH,Total vaccine preventable,4298060,137,156,"6,685","1,120",16.8,"55,504",8.3
2015–16,Inner Regional,Females,Vaccine preventable PPH,Total vaccine preventable,2168586,129,144,"3,133",405,12.9,"20,940",6.7
2015–16,Major cities,Females,Acute PPH,Cellulitis,8596512,183,206,"17,686","3,136",17.7,"81,640",4.6
2015–16,Major cities,Males,Acute PPH,Cellulitis,8414945,255,256,"21,545","3,994",18.5,"84,807",3.9
2015–16,Major cities,Persons,Acute PPH,Cellulitis,17011458,219,231,"39,231","7,130",18.2,"166,446",4.2
2015–16,Major cities,Persons,Acute PPH,Convulsions,17011458,71,72,"12,228","4,261",34.8,"30,188",2.5
2015–16,Major cities,Males,Acute PPH,Convulsions,8414945,81,81,"6,810","2,407",35.3,"16,500",2.4
2015–16,Major cities,Females,Acute PPH,Convulsions,8596512,62,63,"5,418","1,854",34.2,"13,687",2.5
2015–16,Major cities,Females,Acute PPH,Convulsions and epilepsy,8596512,125,126,"10,806","3,438",31.8,"31,536",2.9
2015–16,Major cities,Males,Acute PPH,Convulsions and epilepsy,8414945,161,161,"13,547","4,607",34.0,"37,846",2.8
2015–16,Major cities,Persons,Acute PPH,Convulsions and epilepsy,17011458,143,143,"24,354","8,046",33.0,"69,382",2.8
2015–16,Major cities,Persons,Acute PPH,Dental conditions,17011458,268,264,"44,951","39,443",87.7,"52,993",1.2
2015–16,Major cities,Males,Acute PPH,Dental conditions,8414945,258,255,"21,490","18,699",87.0,"25,971",1.2
2015–16,Major cities,Females,Acute PPH,Dental conditions,8596512,277,273,"23,461","20,744",88.4,"27,022",1.2
