Reporting year,Remoteness Area,Sex,Potentially preventable hospitalisation (PPH) category,Potentially preventable hospitalisation (PPH) condition,Population,"PPH per 100,000 people (age-standardised)","PPH per 100,000 people (crude)",Number of PPH,Number of same day PPH,Percentage of PPH that are same day (%),Total PPH bed days,Average length of stay (days)
2013–14,Major cities,Females,Acute PPH,Convulsions,8279555,62,63,"5,257","1,680",32.0,"13,483",2.6
2013–14,Major cities,Males,Acute PPH,Convulsions and epilepsy,8119757,156,156,"12,629","3,997",31.6,"33,633",2.7
2013–14,Major cities,Females,Acute PPH,Convulsions and epilepsy,8279555,121,121,"10,020","3,041",30.3,"28,723",2.9
2013–14,Major cities,Persons,Acute PPH,Convulsions and epilepsy,16399313,138,138,"22,649","7,038",31.1,"62,356",2.8
2013–14,Major cities,Persons,Acute PPH,Dental conditions,16399313,263,259,"42,399","37,332",88.0,"50,272",1.2
2013–14,Major cities,Males,Acute PPH,Dental conditions,8119757,256,252,"20,497","17,908",87.4,"25,076",1.2
2013–14,Major cities,Females,Acute PPH,Dental conditions,8279555,270,265,"21,902","19,424",88.7,"25,196",1.2
2013–14,Major cities,Males,Acute PPH,"Ear, nose and throat infections",8119757,151,153,"12,421","5,720",46.1,"18,445",1.5
2013–14,Major cities,Females,Acute PPH,"Ear, nose and throat infections",8279555,153,151,"12,463","5,420",43.5,"19,149",1.5
2013–14,Major cities,Persons,Acute PPH,"Ear, nose and throat infections",16399313,152,152,"24,883","11,140",44.8,"37,595",1.5
2013–14,Major cities,Persons,Acute PPH,Eclampsia,16399313,0,0,47,11,23.1,165,3.5
2013–14,Major cities,Males,Acute PPH,Eclampsia,8119757,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2013–14,Major cities,Females,Acute PPH,Eclampsia,8279555,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2013–14,Major cities,Males,Acute PPH,Epilepsy,8119757,76,75,"6,123","1,837",30.0,"17,898",2.9
2013–14,Major cities,Females,Acute PPH,Epilepsy,8279555,58,58,"4,763","1,361",28.6,"15,240",3.2
2013–14,Major cities,Persons,Acute PPH,Epilepsy,16399313,67,66,"10,887","3,198",29.4,"33,138",3.0
2013–14,Major cities,Persons,Acute PPH,Gangrene,16399313,33,35,"5,784",764,13.2,"81,751",14.1
2013–14,Major cities,Males,Acute PPH,Gangrene,8119757,41,40,"3,277",450,13.7,"45,244",13.8
2013–14,Major cities,Females,Acute PPH,Gangrene,8279555,26,30,"2,507",314,12.5,"36,507",14.6
2013–14,Major cities,Males,Acute PPH,Pelvic inflammatory disease,8119757,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2013–14,Major cities,Females,Acute PPH,Pelvic inflammatory disease,8279555,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2013–14,Major cities,Persons,Acute PPH,Pelvic inflammatory disease,16399313,19,19,"3,111","1,114",35.8,"6,958",2.2
2013–14,Major cities,Persons,Acute PPH,Perforated/bleeding ulcer,16399313,21,23,"3,763",352,9.3,"23,828",6.3
2013–14,Major cities,Males,Acute PPH,Perforated/bleeding ulcer,8119757,28,28,"2,257",203,9.0,"13,440",6.0
2013–14,Major cities,Females,Acute PPH,Perforated/bleeding ulcer,8279555,15,18,"1,506",149,9.9,"10,388",6.9
2013–14,Major cities,Males,Acute PPH,Pneumonia (not vaccine-preventable),8119757,8,8,632,12,1.9,"6,004",9.5
2013–14,Major cities,Females,Acute PPH,Pneumonia (not vaccine-preventable),8279555,6,7,558,17,3.0,"5,398",9.7
2013–14,Major cities,Persons,Acute PPH,Pneumonia (not vaccine-preventable),16399313,7,7,"1,190",29,2.4,"11,402",9.6
2013–14,Major cities,Persons,Acute PPH,Total acute,16399313,"1,110","1,137","186,442","74,780",40.1,"615,173",3.3
2013–14,Major cities,Males,Acute PPH,Total acute,8119757,"1,072","1,064","86,376","34,669",40.1,"289,564",3.4
2013–14,Major cities,Females,Acute PPH,Total acute,8279555,"1,149","1,209","100,066","40,111",40.1,"325,609",3.3
2013–14,Major cities,Males,Acute PPH,"Urinary tract infections, including pyelonephritis",8119757,197,192,"15,585","3,312",21.3,"68,829",4.4
2013–14,Major cities,Females,Acute PPH,"Urinary tract infections, including pyelonephritis",8279555,348,390,"32,309","8,297",25.7,"119,984",3.7
2013–14,Major cities,Persons,Acute PPH,"Urinary tract infections, including pyelonephritis",16399313,274,292,"47,894","11,609",24.2,"188,813",3.9
2013–14,Major cities,Persons,Acute and vaccine preventable PPH,Total acute and vaccine preventable,16399313,"1,239","1,271","208,442","79,471",38.1,"759,492",3.6
2013–14,Major cities,Males,Acute and vaccine preventable PPH,Total acute and vaccine preventable,8119757,"1,217","1,209","98,163","37,321",38.0,"373,856",3.8
2013–14,Major cities,Females,Acute and vaccine preventable PPH,Total acute and vaccine preventable,8279555,"1,266","1,332","110,279","42,150",38.2,"385,636",3.5
2013–14,Major cities,Males,Chronic PPH,Angina,8119757,183,181,"14,719","5,478",37.2,"29,952",2.0
2013–14,Major cities,Females,Chronic PPH,Angina,8279555,100,116,"9,572","3,256",34.0,"21,020",2.2
2013–14,Major cities,Persons,Chronic PPH,Angina,16399313,139,148,"24,291","8,734",36.0,"50,971",2.1
2013–14,Major cities,Persons,Chronic PPH,Asthma,16399313,121,118,"19,360","5,761",29.8,"42,458",2.2
2013–14,Major cities,Males,Chronic PPH,Asthma,8119757,109,105,"8,518","2,683",31.5,"14,979",1.8
2013–14,Major cities,Females,Chronic PPH,Asthma,8279555,132,131,"10,842","3,078",28.4,"27,479",2.5
2013–14,Major cities,Males,Chronic PPH,Bronchiectasis,8119757,14,13,"1,083",237,21.9,"7,324",6.8
2013–14,Major cities,Females,Chronic PPH,Bronchiectasis,8279555,28,31,"2,604",501,19.3,"18,055",6.9
2013–14,Major cities,Persons,Chronic PPH,Bronchiectasis,16399313,21,22,"3,687",739,20.0,"25,379",6.9
2013–14,Major cities,Persons,Chronic PPH,COPD,16399313,213,228,"37,445","3,096",8.3,"216,391",5.8
2013–14,Major cities,Males,Chronic PPH,COPD,8119757,246,238,"19,354","1,640",8.5,"108,988",5.6
2013–14,Major cities,Females,Chronic PPH,COPD,8279555,190,218,"18,091","1,456",8.0,"107,403",5.9
2013–14,Major cities,Males,Chronic PPH,Congestive cardiac failure,8119757,236,226,"18,332","1,543",8.4,"123,809",6.8
2013–14,Major cities,Females,Chronic PPH,Congestive cardiac failure,8279555,152,202,"16,742","1,199",7.2,"117,382",7.0
2013–14,Major cities,Persons,Chronic PPH,Congestive cardiac failure,16399313,189,214,"35,074","2,742",7.8,"241,191",6.9
2013–14,Major cities,Persons,Chronic PPH,Diabetes complications,16399313,154,159,"26,046","7,414",28.5,"141,775",5.4
2013–14,Major cities,Males,Chronic PPH,Diabetes complications,8119757,193,191,"15,519","4,628",29.8,"89,731",5.8
2013–14,Major cities,Females,Chronic PPH,Diabetes complications,8279555,120,127,"10,527","2,786",26.5,"52,044",4.9
2013–14,Major cities,Males,Chronic PPH,Hypertension,8119757,25,24,"1,960",540,27.6,"4,841",2.5
2013–14,Major cities,Females,Chronic PPH,Hypertension,8279555,39,45,"3,757","1,095",29.1,"10,273",2.7
2013–14,Major cities,Persons,Chronic PPH,Hypertension,16399313,33,35,"5,717","1,635",28.6,"15,114",2.6
2013–14,Major cities,Persons,Chronic PPH,Iron deficiency anaemia,16399313,169,177,"28,946","22,037",76.1,"46,432",1.6
2013–14,Major cities,Males,Chronic PPH,Iron deficiency anaemia,8119757,126,122,"9,942","7,220",72.6,"17,446",1.8
2013–14,Major cities,Females,Chronic PPH,Iron deficiency anaemia,8279555,213,230,"19,004","14,817",78.0,"28,986",1.5
2013–14,Major cities,Males,Chronic PPH,Nutritional deficiencies,8119757,2,2,148,n.p,n.p,n.p,n.p
2013–14,Major cities,Females,Chronic PPH,Nutritional deficiencies,8279555,2,2,176,n.p,n.p,n.p,n.p
2013–14,Major cities,Persons,Chronic PPH,Nutritional deficiencies,16399313,2,2,324,7,2.2,"4,729",14.6
2013–14,Major cities,Persons,Chronic PPH,Rheumatic heart disease,16399313,11,11,"1,837",554,30.2,"16,207",8.8
2013–14,Major cities,Males,Chronic PPH,Rheumatic heart disease,8119757,10,10,790,222,28.2,"7,162",9.1
2013–14,Major cities,Females,Chronic PPH,Rheumatic heart disease,8279555,12,13,"1,047",332,31.7,"9,045",8.6
2013–14,Major cities,Males,Chronic PPH,Total chronic,8119757,"1,143","1,113","90,362","24,194",26.8,"406,227",4.5
2013–14,Major cities,Females,Chronic PPH,Total chronic,8279555,987,"1,115","92,358","28,525",30.9,"394,373",4.3
2013–14,Major cities,Persons,Chronic PPH,Total chronic,16399313,"1,051","1,114","182,720","52,719",28.9,"800,600",4.4
2013–14,Major cities,Persons,Chronic PPH,Type 1 diabetes complications,16399313,53,52,"8,521","2,324",27.3,"28,021",3.3
2013–14,Major cities,Males,Chronic PPH,Type 1 diabetes complications,8119757,52,52,"4,194","1,140",27.2,"14,343",3.4
2013–14,Major cities,Females,Chronic PPH,Type 1 diabetes complications,8279555,54,52,"4,327","1,184",27.4,"13,678",3.2
2013–14,Major cities,Males,Chronic PPH,Type 2 diabetes complications,8119757,137,137,"11,094","3,434",31.0,"74,402",6.7
2013–14,Major cities,Females,Chronic PPH,Type 2 diabetes complications,8279555,64,73,"6,074","1,576",25.9,"37,889",6.2
2013–14,Major cities,Persons,Chronic PPH,Type 2 diabetes complications,16399313,98,105,"17,168","5,009",29.2,"112,291",6.5
2013–14,Major cities,Persons,Total PPH,Total potentially preventable,16399313,"2,279","2,373","389,210","131,981",33.9,1543642,4.0
2013–14,Major cities,Males,Total PPH,Total potentially preventable,8119757,"2,346","2,308","187,421","61,375",32.7,"770,369",4.1
2013–14,Major cities,Females,Total PPH,Total potentially preventable,8279555,"2,244","2,437","201,788","70,606",35.0,"773,273",3.8
2013–14,Major cities,Males,Vaccine preventable PPH,Other vaccine-preventable conditions,8119757,97,98,"7,969","2,463",30.9,"49,476",6.2
2013–14,Major cities,Females,Vaccine preventable PPH,Other vaccine-preventable conditions,8279555,75,77,"6,387","1,793",28.1,"31,165",4.9
2013–14,Major cities,Persons,Vaccine preventable PPH,Other vaccine-preventable conditions,16399313,85,88,"14,356","4,256",29.6,"80,641",5.6
2013–14,Major cities,Persons,Vaccine preventable PPH,Other vaccine-preventable conditions (excluding Hepatitis B),16399313,11,11,"1,827",184,10.1,"14,158",7.7
2013–14,Major cities,Males,Vaccine preventable PPH,Other vaccine-preventable conditions (excluding Hepatitis B),8119757,11,11,900,91,10.1,"7,991",8.9
2013–14,Major cities,Females,Vaccine preventable PPH,Other vaccine-preventable conditions (excluding Hepatitis B),8279555,11,11,927,93,10.1,"6,167",6.7
2013–14,Major cities,Males,Vaccine preventable PPH,Pneumonia and influenza (vaccine-preventable),8119757,53,52,"4,213",235,5.6,"38,080",9.0
2013–14,Major cities,Females,Vaccine preventable PPH,Pneumonia and influenza (vaccine-preventable),8279555,47,50,"4,140",297,7.2,"30,756",7.4
2013–14,Major cities,Persons,Vaccine preventable PPH,Pneumonia and influenza (vaccine-preventable),16399313,49,51,"8,354",531,6.4,"68,836",8.2
2013–14,Major cities,Persons,Vaccine preventable PPH,Total vaccine preventable,16399313,133,138,"22,645","4,784",21.1,"148,757",6.6
2013–14,Major cities,Males,Vaccine preventable PPH,Total vaccine preventable,8119757,149,150,"12,145","2,696",22.2,"87,019",7.2
2013–14,Major cities,Females,Vaccine preventable PPH,Total vaccine preventable,8279555,121,127,"10,501","2,089",19.9,"61,738",5.9
2013–14,Outer Regional,Males,Acute PPH,Cellulitis,1024447,405,420,"4,302",635,14.8,"17,011",4.0
2013–14,Outer Regional,Females,Acute PPH,Cellulitis,996936.4,275,303,"3,018",407,13.5,"13,186",4.4
2013–14,Outer Regional,Persons,Acute PPH,Cellulitis,2021384,340,362,"7,321","1,042",14.2,"30,197",4.1
2013–14,Outer Regional,Persons,Acute PPH,Convulsions,2021384,92,93,"1,873",535,28.6,"4,042",2.2
2013–14,Outer Regional,Males,Acute PPH,Convulsions,1024447,106,108,"1,102",318,28.9,"2,448",2.2
2013–14,Outer Regional,Females,Acute PPH,Convulsions,996936.4,78,77,771,217,28.2,"1,594",2.1
2013–14,Outer Regional,Males,Acute PPH,Convulsions and epilepsy,1024447,216,216,"2,209",629,28.5,"5,521",2.5
2013–14,Outer Regional,Females,Acute PPH,Convulsions and epilepsy,996936.4,166,163,"1,622",404,24.9,"3,944",2.4
2013–14,Outer Regional,Persons,Acute PPH,Convulsions and epilepsy,2021384,192,190,"3,831","1,034",27.0,"9,465",2.5
2013–14,Outer Regional,Persons,Acute PPH,Dental conditions,2021384,304,301,"6,088","5,171",84.9,"7,390",1.2
2013–14,Outer Regional,Males,Acute PPH,Dental conditions,1024447,291,288,"2,955","2,460",83.3,"3,645",1.2
2013–14,Outer Regional,Females,Acute PPH,Dental conditions,996936.4,318,314,"3,134","2,711",86.5,"3,745",1.2
2013–14,Outer Regional,Males,Acute PPH,"Ear, nose and throat infections",1024447,199,193,"1,980",702,35.5,"3,119",1.6
2013–14,Outer Regional,Females,Acute PPH,"Ear, nose and throat infections",996936.4,207,199,"1,986",612,30.8,"3,369",1.7
2013–14,Outer Regional,Persons,Acute PPH,"Ear, nose and throat infections",2021384,203,196,"3,966","1,314",33.1,"6,488",1.6
2013–14,Outer Regional,Persons,Acute PPH,Eclampsia,2021384,n.p,n.p,9,n.p,n.p,n.p,n.p
2013–14,Outer Regional,Males,Acute PPH,Eclampsia,1024447,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2013–14,Outer Regional,Females,Acute PPH,Eclampsia,996936.4,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2013–14,Outer Regional,Males,Acute PPH,Epilepsy,1024447,111,108,"1,107",311,28.1,"3,073",2.8
2013–14,Outer Regional,Females,Acute PPH,Epilepsy,996936.4,88,85,851,187,22.0,"2,350",2.8
2013–14,Outer Regional,Persons,Acute PPH,Epilepsy,2021384,100,97,"1,958",498,25.5,"5,423",2.8
2013–14,Outer Regional,Persons,Acute PPH,Gangrene,2021384,48,54,"1,091",149,13.6,"15,500",14.2
2013–14,Outer Regional,Males,Acute PPH,Gangrene,1024447,61,66,677,77,11.4,"9,394",13.9
2013–14,Outer Regional,Females,Acute PPH,Gangrene,996936.4,36,42,414,72,17.3,"6,106",14.8
2013–14,Outer Regional,Males,Acute PPH,Pelvic inflammatory disease,1024447,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2013–14,Outer Regional,Females,Acute PPH,Pelvic inflammatory disease,996936.4,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2013–14,Outer Regional,Persons,Acute PPH,Pelvic inflammatory disease,2021384,25,22,443,130,29.4,"1,110",2.5
2013–14,Outer Regional,Persons,Acute PPH,Perforated/bleeding ulcer,2021384,22,26,520,60,11.5,"3,447",6.6
2013–14,Outer Regional,Males,Acute PPH,Perforated/bleeding ulcer,1024447,26,29,301,36,12.1,"1,864",6.2
2013–14,Outer Regional,Females,Acute PPH,Perforated/bleeding ulcer,996936.4,18,22,220,24,10.8,"1,583",7.2
2013–14,Outer Regional,Males,Acute PPH,Pneumonia (not vaccine-preventable),1024447,8,8,82,n.p,n.p,n.p,n.p
2013–14,Outer Regional,Females,Acute PPH,Pneumonia (not vaccine-preventable),996936.4,6,6,64,n.p,n.p,n.p,n.p
2013–14,Outer Regional,Persons,Acute PPH,Pneumonia (not vaccine-preventable),2021384,7,7,147,5,3.4,"1,574",10.7
2013–14,Outer Regional,Persons,Acute PPH,Total acute,2021384,"1,435","1,484","30,004","10,146",33.8,"99,475",3.3
2013–14,Outer Regional,Males,Acute PPH,Total acute,1024447,"1,395","1,432","14,674","4,909",33.5,"50,409",3.4
2013–14,Outer Regional,Females,Acute PPH,Total acute,996936.4,"1,477","1,538","15,329","5,237",34.2,"49,066",3.2
2013–14,Outer Regional,Males,Acute PPH,"Urinary tract infections, including pyelonephritis",1024447,191,214,"2,190",366,16.7,"9,043",4.1
2013–14,Outer Regional,Females,Acute PPH,"Urinary tract infections, including pyelonephritis",996936.4,401,445,"4,438",877,19.8,"15,580",3.5
2013–14,Outer Regional,Persons,Acute PPH,"Urinary tract infections, including pyelonephritis",2021384,296,328,"6,628","1,243",18.8,"24,623",3.7
2013–14,Outer Regional,Persons,Acute and vaccine preventable PPH,Total acute and vaccine preventable,2021384,"1,535","1,591","32,155","10,518",32.7,"114,228",3.6
2013–14,Outer Regional,Males,Acute and vaccine preventable PPH,Total acute and vaccine preventable,1024447,"1,506","1,552","15,896","5,150",32.4,"59,330",3.7
2013–14,Outer Regional,Females,Acute and vaccine preventable PPH,Total acute and vaccine preventable,996936.4,"1,567","1,631","16,258","5,368",33.0,"54,898",3.4
2013–14,Outer Regional,Males,Chronic PPH,Angina,1024447,241,288,"2,955",950,32.1,"5,800",2.0
2013–14,Outer Regional,Females,Chronic PPH,Angina,996936.4,137,171,"1,705",525,30.8,"3,356",2.0
2013–14,Outer Regional,Persons,Chronic PPH,Angina,2021384,190,231,"4,660","1,475",31.7,"9,156",2.0
2013–14,Outer Regional,Persons,Chronic PPH,Asthma,2021384,129,127,"2,574",651,25.3,"5,641",2.2
2013–14,Outer Regional,Males,Chronic PPH,Asthma,1024447,106,104,"1,069",293,27.4,"2,003",1.9
2013–14,Outer Regional,Females,Chronic PPH,Asthma,996936.4,151,151,"1,505",358,23.8,"3,638",2.4
2013–14,Outer Regional,Males,Chronic PPH,Bronchiectasis,1024447,14,16,165,47,28.4,"1,104",6.7
2013–14,Outer Regional,Females,Chronic PPH,Bronchiectasis,996936.4,32,38,375,110,29.3,"2,204",5.9
2013–14,Outer Regional,Persons,Chronic PPH,Bronchiectasis,2021384,23,27,540,157,29.0,"3,308",6.1
2013–14,Outer Regional,Persons,Chronic PPH,COPD,2021384,318,392,"7,932",557,7.0,"43,463",5.5
2013–14,Outer Regional,Males,Chronic PPH,COPD,1024447,359,425,"4,353",318,7.3,"23,602",5.4
2013–14,Outer Regional,Females,Chronic PPH,COPD,996936.4,285,359,"3,579",238,6.7,"19,861",5.5
2013–14,Outer Regional,Males,Chronic PPH,Congestive cardiac failure,1024447,260,294,"3,011",277,9.2,"18,302",6.1
2013–14,Outer Regional,Females,Chronic PPH,Congestive cardiac failure,996936.4,184,246,"2,457",178,7.2,"16,559",6.7
2013–14,Outer Regional,Persons,Chronic PPH,Congestive cardiac failure,2021384,221,271,"5,468",455,8.3,"34,862",6.4
2013–14,Outer Regional,Persons,Chronic PPH,Diabetes complications,2021384,210,230,"4,654",935,20.1,"25,071",5.4
2013–14,Outer Regional,Males,Chronic PPH,Diabetes complications,1024447,243,269,"2,754",557,20.2,"15,525",5.6
2013–14,Outer Regional,Females,Chronic PPH,Diabetes complications,996936.4,177,191,"1,900",377,19.9,"9,546",5.0
2013–14,Outer Regional,Males,Chronic PPH,Hypertension,1024447,35,39,404,65,16.2,"1,087",2.7
2013–14,Outer Regional,Females,Chronic PPH,Hypertension,996936.4,60,75,749,101,13.5,"2,208",2.9
2013–14,Outer Regional,Persons,Chronic PPH,Hypertension,2021384,48,57,"1,152",166,14.4,"3,295",2.9
2013–14,Outer Regional,Persons,Chronic PPH,Iron deficiency anaemia,2021384,176,198,"3,997","3,196",79.9,"5,871",1.5
2013–14,Outer Regional,Males,Chronic PPH,Iron deficiency anaemia,1024447,122,138,"1,410","1,077",76.4,"2,243",1.6
2013–14,Outer Regional,Females,Chronic PPH,Iron deficiency anaemia,996936.4,232,260,"2,588","2,119",81.9,"3,628",1.4
2013–14,Outer Regional,Males,Chronic PPH,Nutritional deficiencies,1024447,n.p,n.p,34,n.p,n.p,n.p,n.p
2013–14,Outer Regional,Females,Chronic PPH,Nutritional deficiencies,996936.4,n.p,n.p,16,n.p,n.p,n.p,n.p
2013–14,Outer Regional,Persons,Chronic PPH,Nutritional deficiencies,2021384,2,3,51,n.p,n.p,n.p,n.p
2013–14,Outer Regional,Persons,Chronic PPH,Rheumatic heart disease,2021384,13,15,295,70,23.9,"2,332",7.9
2013–14,Outer Regional,Males,Chronic PPH,Rheumatic heart disease,1024447,13,14,146,27,18.4,"1,229",8.4
2013–14,Outer Regional,Females,Chronic PPH,Rheumatic heart disease,996936.4,14,15,149,44,29.2,"1,103",7.4
2013–14,Outer Regional,Males,Chronic PPH,Total chronic,1024447,"1,397","1,591","16,301","3,613",22.2,"71,375",4.4
2013–14,Outer Regional,Females,Chronic PPH,Total chronic,996936.4,"1,274","1,507","15,023","4,051",27.0,"62,388",4.2
2013–14,Outer Regional,Persons,Chronic PPH,Total chronic,2021384,"1,330","1,550","31,324","7,664",24.5,"133,763",4.3
2013–14,Outer Regional,Persons,Chronic PPH,Type 1 diabetes complications,2021384,78,73,"1,481",381,25.7,"4,811",3.2
2013–14,Outer Regional,Males,Chronic PPH,Type 1 diabetes complications,1024447,75,72,736,195,26.4,"2,497",3.4
2013–14,Outer Regional,Females,Chronic PPH,Type 1 diabetes complications,996936.4,80,75,746,187,25.1,"2,314",3.1
2013–14,Outer Regional,Males,Chronic PPH,Type 2 diabetes complications,1024447,161,191,"1,953",352,18.0,"12,714",6.5
2013–14,Outer Regional,Females,Chronic PPH,Type 2 diabetes complications,996936.4,95,114,"1,137",186,16.3,"7,160",6.3
2013–14,Outer Regional,Persons,Chronic PPH,Type 2 diabetes complications,2021384,128,153,"3,090",538,17.4,"19,874",6.4
2013–14,Outer Regional,Persons,Total PPH,Total potentially preventable,2021384,"2,855","3,128","63,228","18,167",28.7,"245,414",3.9
2013–14,Outer Regional,Males,Total PPH,Total potentially preventable,1024447,"2,890","3,128","32,048","8,757",27.3,"129,310",4.0
2013–14,Outer Regional,Females,Total PPH,Total potentially preventable,996936.4,"2,832","3,128","31,180","9,409",30.2,"116,104",3.7
2013–14,Outer Regional,Males,Vaccine preventable PPH,Other vaccine-preventable conditions,1024447,69,74,761,213,28.0,"4,741",6.2
2013–14,Outer Regional,Females,Vaccine preventable PPH,Other vaccine-preventable conditions,996936.4,50,49,488,102,20.8,"2,829",5.8
2013–14,Outer Regional,Persons,Vaccine preventable PPH,Other vaccine-preventable conditions,2021384,59,62,"1,249",315,25.2,"7,569",6.1
2013–14,Outer Regional,Persons,Vaccine preventable PPH,Other vaccine-preventable conditions (excluding Hepatitis B),2021384,12,13,253,23,9.0,"1,669",6.6
2013–14,Outer Regional,Males,Vaccine preventable PPH,Other vaccine-preventable conditions (excluding Hepatitis B),1024447,12,12,127,9,6.8,863,6.8
2013–14,Outer Regional,Females,Vaccine preventable PPH,Other vaccine-preventable conditions (excluding Hepatitis B),996936.4,12,13,126,14,11.3,806,6.4
2013–14,Outer Regional,Males,Vaccine preventable PPH,Pneumonia and influenza (vaccine-preventable),1024447,47,51,519,35,6.7,"4,575",8.8
2013–14,Outer Regional,Females,Vaccine preventable PPH,Pneumonia and influenza (vaccine-preventable),996936.4,44,48,477,35,7.3,"3,274",6.9
2013–14,Outer Regional,Persons,Vaccine preventable PPH,Pneumonia and influenza (vaccine-preventable),2021384,46,49,997,69,7.0,"7,849",7.9
2013–14,Outer Regional,Persons,Vaccine preventable PPH,Total vaccine preventable,2021384,104,110,"2,233",383,17.1,"15,320",6.9
2013–14,Outer Regional,Males,Vaccine preventable PPH,Total vaccine preventable,1024447,115,124,"1,274",248,19.4,"9,234",7.2
2013–14,Outer Regional,Females,Vaccine preventable PPH,Total vaccine preventable,996936.4,93,96,960,135,14.1,"6,086",6.3
2013–14,Remote,Males,Acute PPH,Cellulitis,161727.4,615,606,981,191,19.5,"3,037",3.1
2013–14,Remote,Females,Acute PPH,Cellulitis,143589.5,464,459,659,115,17.5,"2,115",3.2
2013–14,Remote,Persons,Acute PPH,Cellulitis,305316.9,543,537,"1,639",307,18.7,"5,152",3.1
2013–14,Remote,Persons,Acute PPH,Convulsions,305316.9,155,160,487,177,36.3,878,1.8
2013–14,Remote,Males,Acute PPH,Convulsions,161727.4,182,189,305,110,36.1,528,1.7
2013–14,Remote,Females,Acute PPH,Convulsions,143589.5,124,127,182,67,36.7,350,1.9
2013–14,Remote,Males,Acute PPH,Convulsions and epilepsy,161727.4,357,364,589,189,32.2,"1,104",1.9
2013–14,Remote,Females,Acute PPH,Convulsions and epilepsy,143589.5,242,246,353,111,31.6,712,2.0
2013–14,Remote,Persons,Acute PPH,Convulsions and epilepsy,305316.9,303,308,941,301,32.0,"1,816",1.9
2013–14,Remote,Persons,Acute PPH,Dental conditions,305316.9,358,368,"1,125",892,79.3,"1,435",1.3
2013–14,Remote,Males,Acute PPH,Dental conditions,161727.4,320,328,530,417,78.6,670,1.3
2013–14,Remote,Females,Acute PPH,Dental conditions,143589.5,401,414,595,475,79.8,765,1.3
2013–14,Remote,Males,Acute PPH,"Ear, nose and throat infections",161727.4,292,307,497,179,36.0,760,1.5
2013–14,Remote,Females,Acute PPH,"Ear, nose and throat infections",143589.5,353,365,525,177,33.7,872,1.7
2013–14,Remote,Persons,Acute PPH,"Ear, nose and throat infections",305316.9,320,335,"1,022",356,34.8,"1,632",1.6
2013–14,Remote,Persons,Acute PPH,Eclampsia,305316.9,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2013–14,Remote,Males,Acute PPH,Eclampsia,161727.4,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2013–14,Remote,Females,Acute PPH,Eclampsia,143589.5,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2013–14,Remote,Males,Acute PPH,Epilepsy,161727.4,175,175,284,79,27.9,576,2.0
2013–14,Remote,Females,Acute PPH,Epilepsy,143589.5,117,119,171,45,26.2,362,2.1
2013–14,Remote,Persons,Acute PPH,Epilepsy,305316.9,148,149,454,124,27.3,938,2.1
2013–14,Remote,Persons,Acute PPH,Gangrene,305316.9,94,94,288,20,7.0,"3,382",11.8
2013–14,Remote,Males,Acute PPH,Gangrene,161727.4,115,115,185,15,8.1,"2,261",12.2
2013–14,Remote,Females,Acute PPH,Gangrene,143589.5,72,71,102,5,4.9,"1,121",11.0
2013–14,Remote,Males,Acute PPH,Pelvic inflammatory disease,161727.4,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2013–14,Remote,Females,Acute PPH,Pelvic inflammatory disease,143589.5,n.p,n.p,n.p,n.p,n.p,n.p,n.p
2013–14,Remote,Persons,Acute PPH,Pelvic inflammatory disease,305316.9,40,39,118,27,22.7,300,2.5
2013–14,Remote,Persons,Acute PPH,Perforated/bleeding ulcer,305316.9,23,22,67,6,8.5,324,4.8
2013–14,Remote,Males,Acute PPH,Perforated/bleeding ulcer,161727.4,28,27,44,n.p,n.p,n.p,n.p
2013–14,Remote,Females,Acute PPH,Perforated/bleeding ulcer,143589.5,18,16,23,n.p,n.p,n.p,n.p
2013–14,Remote,Males,Acute PPH,Pneumonia (not vaccine-preventable),161727.4,n.p,n.p,18,n.p,n.p,n.p,n.p
2013–14,Remote,Females,Acute PPH,Pneumonia (not vaccine-preventable),143589.5,n.p,n.p,11,n.p,n.p,n.p,n.p
2013–14,Remote,Persons,Acute PPH,Pneumonia (not vaccine-preventable),305316.9,9,9,29,n.p,n.p,n.p,n.p
2013–14,Remote,Persons,Acute PPH,Total acute,305316.9,"2,056","2,054","6,271","2,105",33.6,"17,864",2.8
2013–14,Remote,Males,Acute PPH,Total acute,161727.4,"1,938","1,937","3,132","1,047",33.4,"9,395",3.0
2013–14,Remote,Females,Acute PPH,Total acute,143589.5,"2,189","2,186","3,140","1,058",33.7,"8,470",2.7
2013–14,Remote,Males,Acute PPH,"Urinary tract infections, including pyelonephritis",161727.4,206,184,297,53,17.9,"1,206",4.1
2013–14,Remote,Females,Acute PPH,"Urinary tract infections, including pyelonephritis",143589.5,550,528,758,144,19.0,"2,373",3.1
